"","UNSDLEA","geoid","STATEFP","percent_overlap"
"1",3210,"01027",1,8.61317547862243e-12
"2",750,"01027",1,0.999999975506519
"3",780,"01027",1,5.23946180783506e-12
"4",900,"01027",1,3.66846351266786e-12
"5",2820,"01027",1,3.07280644849556e-12
"6",3180,"01027",1,1.91232272456612e-11
"7",1410,"13189",13,1.69581193627248e-07
"8",3060,"13189",13,5.63029939092418e-11
"9",3330,"13189",13,1.49795305118914e-10
"10",3570,"13189",13,0.999956626983104
"11",4380,"13189",13,9.36849626435264e-12
"12",5460,"13189",13,9.44866256559056e-10
"13",5760,"13189",13,0
"14",1380,"28061",28,0.999999974973023
"15",1440,"28061",28,1.78729747282898e-12
"16",3780,"28061",28,3.27198064476879e-12
"17",4530,"28061",28,8.70632139618316e-12
"18",2280,"28061",28,1.18736841165071e-10
"19",3150,"28061",28,9.04669190011004e-12
"20",3180,"28061",28,1.08585877554993e-11
"21",4020,"28061",28,6.91813815346766e-10
"22",4590,"28061",28,0.999999908368389
"23",1200,"01091",1,0.999999993946676
"24",690,"01091",1,4.90559374266907e-11
"25",720,"01091",1,4.37359592206e-12
"26",2670,"01091",1,3.00529498175815e-12
"27",1110,"01091",1,1.15887219369068e-14
"28",1680,"01091",1,1.87870595042569e-11
"29",1710,"01091",1,1.36388457125113e-11
"30",2130,"01091",1,0.999999979345781
"31",2250,"01091",1,0.999999997995684
"32",3090,"01091",1,4.51115078397707e-11
"33",3300,"01091",1,2.87897919573628e-11
"34",3510,"01091",1,3.45969462192695e-11
"35",1080,"01049",13,9.04384905024873e-12
"36",5370,"01049",13,8.31560447715649e-15
"37",1590,"01049",13,1.29203454479458e-11
"38",6,"01049",1,8.76451334894083e-12
"39",12,"01049",1,1.14592995496575e-25
"40",1830,"01049",1,1.24563623748618e-10
"41",630,"01049",1,5.52688936547361e-10
"42",1380,"01049",1,5.49580373054898e-11
"43",1140,"01049",1,0.999999974187408
"44",1560,"01049",1,0.999999999994216
"45",2400,"13025",13,5.4460455068734e-11
"46",4140,"13025",13,0
"47",480,"13025",13,0.999999998586271
"48",780,"13025",13,1.20358248484035e-06
"49",990,"13025",13,2.02386455302407e-11
"50",5550,"13025",13,5.99742482444382e-11
"51",5430,"13025",13,3.88561986225327e-11
"52",690,"13171",13,8.44006680872624e-12
"53",2520,"13171",13,5.48533362311349e-11
"54",3210,"13171",13,1.00000006689168
"55",3720,"13171",13,1.41639916222137e-11
"56",4170,"13171",13,7.80118897308283e-08
"57",5280,"13171",13,5.22555757698785e-12
"58",270,"12053",12,7.97994658106247e-09
"59",810,"12053",12,0.999999899780236
"60",1530,"12053",12,1.022628348299e-06
"61",1800,"12053",12,4.3431607311939e-11
"62",570,"12129",12,3.23333250850684e-11
"63",990,"12129",12,0
"64",1110,"12129",12,5.62874130988611e-06
"65",1170,"12129",12,0
"66",1950,"12129",12,0.999999110954273
"67",90,"12131",12,8.48746810147542e-13
"68",900,"12131",12,1.79511816578962e-11
"69",1380,"12131",12,3.37498245324e-12
"70",1980,"12131",12,0.999999986222294
"71",2010,"12131",12,0
"72",930,"12131",1,4.74624877264376e-10
"73",1660,"12131",1,3.57528771445997e-11
"74",191,"28017",28,1.37767082060617e-10
"75",360,"28017",28,4.50985657964855e-12
"76",870,"28017",28,4.92115658749412e-12
"77",960,"28017",28,0.99999997410369
"78",2010,"28017",28,1.00000003110386
"79",2550,"28017",28,1.12993338681493e-06
"80",3090,"28017",28,7.39001075013857e-12
"81",3390,"28017",28,0.847625960607632
"82",3660,"28017",28,1.81364314202405e-11
"83",4560,"28017",28,8.40427425716808e-12
"84",540,"12127",12,3.59308299604241e-05
"85",1260,"12127",12,1.10668137278397e-11
"86",1620,"12127",12,0
"87",1710,"12127",12,0
"88",1920,"12127",12,0.999996321043841
"89",150,"12127",12,2.18653297248991e-11
"90",1050,"12127",12,0
"91",1440,"12127",12,5.22689385568965e-15
"92",4200,"13115",13,3.71713617583764e-11
"93",330,"13115",13,1.06080396085651e-11
"94",1080,"13115",13,2.64325620940687e-10
"95",5370,"13115",13,3.49151766800982e-13
"96",2190,"13115",13,1.00000009480073
"97",2430,"13115",13,0
"98",630,"13115",1,6.68785303782242e-12
"99",1830,"13273",13,1.80033207913194e-11
"100",4860,"13273",13,1.00000013924606
"101",5580,"13273",13,2.20537831826936e-11
"102",750,"13273",13,2.51552078097661e-12
"103",3270,"13273",13,0
"104",4350,"13273",13,0
"105",4620,"13273",13,0
"106",120,"13063",13,5.79329300987329e-11
"107",2820,"13063",13,5.86903721607179e-11
"108",1230,"13063",13,0.999999934020889
"109",1740,"13063",13,3.55188525888734e-11
"110",2130,"13063",13,0
"111",2280,"13063",13,2.06845880150399e-11
"112",2520,"13063",13,2.40829153535912e-12
"113",1410,"13073",13,0.99997439981906
"114",3330,"13073",13,0
"115",3570,"13073",13,4.33934956904857e-05
"116",4380,"13073",13,2.54818184055934e-10
"117",540,"28145",28,4.96481941084644e-12
"118",600,"28145",28,1.39696130096872e-11
"119",4350,"28145",28,0.999999964541735
"120",2370,"28145",28,1.26198347301338e-12
"121",2550,"28145",28,1.00979431124556e-11
"122",2850,"28145",28,1.44465971476757e-12
"123",3120,"28145",28,0.999999953871489
"124",4110,"28145",28,1.87628330889275e-08
"125",3660,"28145",28,1.1119329389084e-09
"126",1800,"13193",13,5.19651665485224e-07
"127",2880,"13193",13,5.25435529731862e-12
"128",3450,"13193",13,0.999944065896069
"129",4470,"13193",13,3.65865612053072e-11
"130",4050,"13193",13,0
"131",4620,"13193",13,1.56791684241375e-05
"132",4800,"13193",13,2.84924684753909e-10
"133",60,"13049",12,0
"134",1350,"13049",12,0
"135",480,"13049",13,5.01394625893097e-11
"136",780,"13049",13,0
"137",990,"13049",13,1.00000000012001
"138",5430,"13049",13,2.36732949915841e-11
"139",2670,"13233",13,2.71135292962777e-11
"140",4020,"13233",13,4.10125184015488e-11
"141",4200,"13233",13,0.999999995240251
"142",330,"13233",13,1.92307235902812e-11
"143",2190,"13233",13,2.84512787754332e-11
"144",2760,"13233",1,8.5412166704426e-12
"145",630,"13233",1,2.09356122076905e-12
"146",120,"13089",13,0.0556279258870269
"147",2820,"13089",13,1.23922878939998e-11
"148",1230,"13089",13,1.02427810573263e-10
"149",1740,"13089",13,0.999842979867563
"150",2280,"13089",13,6.59796075058091e-06
"151",2550,"13089",13,0.000149002582785484
"152",4410,"13089",13,4.97067703162755e-10
"153",4110,"13227",13,0.999999840664833
"154",330,"13227",13,0
"155",1110,"13227",13,1.56440623077254e-11
"156",1650,"13227",13,4.7021318566172e-08
"157",2340,"13227",13,3.37081026162375e-11
"158",2430,"13227",13,7.82858729148534e-12
"159",2730,"13119",13,1.24946537398924e-10
"160",3480,"13119",13,1.30950913678018e-07
"161",240,"13119",13,1.47792492581069e-05
"162",2250,"13119",13,0.99988725246182
"163",4560,"13119",13,4.37402813085239e-09
"164",180,"12051",12,1.96602973341229e-13
"165",240,"12051",12,9.46990388555496e-27
"166",330,"12051",12,1.24155718926721e-11
"167",660,"12051",12,1.98648279019252e-08
"168",780,"12051",12,0.99999994085348
"169",1080,"12051",12,7.2542489330021e-13
"170",1500,"12051",12,4.04967172321497e-10
"171",2640,"13265",13,0
"172",2490,"13265",13,0
"173",3990,"13265",13,7.14298322869736e-11
"174",4680,"13265",13,1.00000000036308
"175",5460,"13265",13,0
"176",5760,"13265",13,0
"177",2310,"28069",28,0.999999991862118
"178",2700,"28069",28,3.09354129723377e-11
"179",2430,"28069",28,2.89209045001506e-11
"180",3060,"28069",28,1.13080440975459e-11
"181",3300,"28069",28,5.53903032531935e-10
"182",3090,"28069",1,2.20390309469154e-12
"183",4200,"01019",13,4.16791009300945e-12
"184",1080,"01019",13,2.45806253605672e-11
"185",2190,"01019",13,6.56018191653741e-12
"186",540,"01019",1,1.60191871197215e-11
"187",2760,"01019",1,2.71259476074995e-10
"188",630,"01019",1,1.00000001967386
"189",1380,"01019",1,0
"190",1140,"01019",1,2.88831991412518e-09
"191",1560,"01019",1,3.99855991506689e-12
"192",1470,"12095",12,2.54498348222223e-10
"193",1590,"12095",12,9.99467307754566e-28
"194",1710,"12095",12,1.48334275879391e-06
"195",150,"12095",12,0
"196",1050,"12095",12,1.12977358010242e-08
"197",1440,"12095",12,0.999997971998489
"198",510,"13045",13,0.219903166955116
"199",1860,"13045",13,1.74520962626687e-11
"200",2670,"13045",13,1.21448273386631e-10
"201",2790,"13045",13,2.74752490873392e-11
"202",4020,"13045",13,9.04669182739249e-11
"203",840,"13045",13,0.999999974253537
"204",1500,"13045",13,1.24274788025169e-10
"205",2280,"13045",13,3.21554147575535e-11
"206",780,"13045",1,5.44506090987725e-12
"207",2820,"13045",1,1.38027869969647e-13
"208",1200,"01065",1,1.75978917273893e-11
"209",360,"01065",1,3.33154882534809e-13
"210",2670,"01065",1,5.24116286763498e-12
"211",1680,"01065",1,0
"212",1710,"01065",1,1.00000001153979
"213",2250,"01065",1,1.63128510372842e-11
"214",3390,"01065",1,4.15766477351607e-11
"215",360,"01105",1,5.05916770596653e-12
"216",660,"01105",1,3.54364606286317e-13
"217",2670,"01105",1,0.999999932764222
"218",1110,"01105",1,2.40245255951077e-10
"219",1710,"01105",1,1.53209843798957e-12
"220",2250,"01105",1,1.44377892706762e-12
"221",4260,"01033",28,2.49784796303001e-09
"222",2010,"01033",1,0
"223",840,"01033",1,1.00000002756148
"224",1590,"01033",1,4.61429296540638e-11
"225",2040,"01033",1,0
"226",390,"13075",13,2.27307037934556e-08
"227",540,"13075",13,0
"228",4980,"13075",13,6.45522129226849e-11
"229",1380,"13075",13,0
"230",1470,"13075",13,0.999999999096543
"231",3390,"13075",13,6.78020316130303e-11
"232",1200,"01063",1,1.11680384101397e-10
"233",2730,"01063",1,0
"234",1680,"01063",1,0.999999978270615
"235",1710,"01063",1,0
"236",2250,"01063",1,1.23486948423572e-11
"237",3090,"01063",1,0
"238",3390,"01063",1,5.02995707521472e-12
"239",180,"12011",12,0.999994711585435
"240",330,"12011",12,2.98328809073822e-13
"241",390,"12011",12,6.11894979177826e-07
"242",780,"12011",12,7.07330374822594e-13
"243",1500,"12011",12,3.92522058943477e-07
"244",60,"13279",13,0
"245",5040,"13279",13,0.999999999232742
"246",5100,"13279",13,1.65380802893134e-12
"247",3750,"13279",13,2.71876120740656e-10
"248",2040,"13279",13,0
"249",3000,"13279",13,7.1014693414008e-11
"250",4770,"13279",13,0
"251",5340,"13279",13,0.956066814510385
"252",185,"28151",28,2.14105928476982e-09
"253",187,"28151",28,5.07696846216267e-09
"254",1620,"28151",28,1.00000002040856
"255",1890,"28151",28,1.00000000360188
"256",2610,"28151",28,0.999999994504796
"257",4680,"28151",28,0.851809979600578
"258",2040,"28151",28,0
"259",3960,"28151",28,3.33695282193758e-11
"260",4800,"28055",28,1.26922473673182e-11
"261",4680,"28055",28,0.148190122104546
"262",3960,"28055",28,0.468896577551744
"263",4470,"28055",28,5.84958473678843e-11
